,max,mean,median,min,rmse,sse,std
vio0,4.147708779076042,2.431461494103227,2.479087602626119,0.41137366373515716,2.536088549254909,6914.126014386509,0.7209300467834385
vio1,2.464592916153474,1.1405708308866171,1.140331835824718,0.23347371352219073,1.2828110598148377,1769.0245313220123,0.5871136132929287
vio2,1.013636676512111,0.472104321372017,0.4343192236516516,0.11840630995776945,0.5113019139443283,281.0368707433684,0.1963342989520699
vio3,0.8676097468458045,0.4456214788777895,0.4191364830163942,0.07545130195465702,0.4847660211301844,252.62295238556965,0.19083918047707643
vio4,0.8400345303947594,0.40721524910761714,0.3889088734709781,0.06513803885046933,0.44584586319819125,213.6869237607608,0.18153312266680594
vio5,0.7693176550158726,0.34193985134454635,0.32664756239320086,0.05593111898974494,0.38057029221366534,155.6962783642642,0.1670655122341656
vio6,0.7001780076056306,0.2980679746263399,0.2750074626515287,0.02288303898529624,0.3399549679470541,124.23708374927378,0.1634774074116487
vio7,0.6378268542175388,0.24054183545378374,0.13582009220607555,0.015328909960559042,0.30054196643714676,97.09988410915008,0.18018073977656957
vio8,0.4736073820372703,0.2518416533963522,0.2559512312395925,0.09431492673006493,0.2642173023718061,75.04659158808198,0.07991598392828549
vio9,0.5591200572900809,0.34309069402974907,0.34485635887348726,0.059389676259244656,0.3717532972455901,148.56555256394068,0.14314080369745438
vio10,0.4938554756179769,0.3216763456110677,0.32469118838821004,0.08246279245881634,0.3395392758811226,123.93343885581785,0.10867956818181596
vio11,0.5055563809836522,0.32304508615213945,0.3246420966102529,0.09949340678176113,0.33489362213777585,120.56526850970135,0.08829275429793897
vio12,0.47488474842032996,0.31744729368294544,0.31763413057016193,0.12909997079413812,0.3246662359041208,113.31377709136149,0.06808362849851629
vio13,0.42910794529939805,0.29600188429252283,0.2975675632529588,0.12479264959236097,0.3023859105517432,98.29503181772233,0.06180714679940136
vio14,0.4297885732512103,0.29669504396131136,0.29708359680159063,0.11980098370447241,0.3034845281062157,99.01057320984137,0.06383501929699695
vio15,0.4355962680209192,0.29974764024247147,0.2984529757649068,0.11537561246290444,0.30689959570798414,101.25141398415342,0.06586891539105541
vio16,0.44002500155044105,0.302159392479333,0.3000430371205341,0.10768374417495455,0.31019146399927683,103.43515016336576,0.07013163248160599
vio17,0.44039101276238624,0.30218448907987183,0.3023810619417065,0.10442605520660757,0.3104080726617092,103.57965944157374,0.07097679996374714
vio18,0.4312044190882567,0.2977685332062867,0.3000699461825708,0.11576276844579073,0.30419569668489205,99.47514852272737,0.06220066329054191
vio19,0.42225117710578586,0.29903332149320716,0.30294218918928273,0.10519026430092632,0.30707619324740065,101.36797259376358,0.06982020549994931
vio20,0.4360323574475307,0.30408106007678914,0.31221598579440746,0.10089844238294679,0.3135392268352696,105.67986027179303,0.0764300704371965
vio21,0.42952332575387014,0.3052272866616706,0.3159165398445509,0.09681979916372137,0.31457312344539845,106.37796874375844,0.07610882650092737
vio22,0.43491435662801736,0.3116304749576602,0.32963964176121635,0.10074814615943167,0.3209882290076897,110.76095139860503,0.07694082296905938
vio23,0.48656115213535683,0.3297191208845196,0.35525107038727677,0.12187701915956269,0.3392348811658456,123.7113274445758,0.07978474743172966
vio24,0.5141577863213314,0.33858125273142875,0.35200842422829165,0.13687642973492928,0.34852830582047567,130.58237845494784,0.08267233670888582
vio25,0.48772198124781935,0.3127316069130925,0.32174900848910054,0.11589470642818732,0.3248099136555451,113.41409100959189,0.08775204867396388
vio26,0.5129268218856207,0.3111311355330597,0.3240434390067342,0.11332629976173879,0.32786059678664303,115.55451374469075,0.10339239540315594
