,max,mean,median,min,rmse,sse,std
vio0,5.613273357390703,2.5267123589688945,1.845139662427206,1.0453135968287937,2.9682486008047557,9471.287237892844,1.5576342353753116
vio1,0.6481261267573423,0.4369124597380337,0.48353566484078686,0.1071257467076745,0.4544916054314726,222.0548158632532,0.1251803576178725
vio2,0.7430958268442326,0.535997547970297,0.5535196641934943,0.2360388443599353,0.5540932683543204,330.0458012882409,0.14044920293615834
vio3,0.7687112200908852,0.5453192595902728,0.5549499135045722,0.246774610034766,0.5645689262410823,342.6434279127843,0.14616763525803275
vio4,0.7725636583032064,0.5481760379616955,0.5575566289289743,0.25186039284901546,0.5676433929303548,346.3854481527966,0.147384032181587
vio5,0.7781131309934465,0.5525874107930221,0.5620498546953326,0.2632716301702799,0.5720286428933484,351.75802591218644,0.1478645384244306
vio6,0.7817510444064709,0.5547102483114806,0.563286183149878,0.25980770325096975,0.5739413923173445,354.1143759513099,0.14732705872780966
vio7,0.7876601820167987,0.5584353798367127,0.5647797646957519,0.2508786467530702,0.5770976685401475,358.0198479620596,0.14557350576633285
vio8,0.7572989398852653,0.5390586931152707,0.5451132551721756,0.22799469316311213,0.5563067123421321,332.6879450616801,0.13745138621988556
vio9,0.6753779916603583,0.48304978356186123,0.4847770882132223,0.18483282552966135,0.4984046559827264,267.0377411881543,0.12276036700050591
vio10,0.6033948793048759,0.3789545490217549,0.36573675988612714,0.1102424632418357,0.3954701968444496,168.1264273366018,0.11309344087039742
vio11,0.5340597859211118,0.25663956455835846,0.22883319803611446,0.018043671459991036,0.2825362343776186,85.81372801650598,0.11816453630248284
vio12,0.49205638421713244,0.24301110446892707,0.22094373437114487,0.06753972997450987,0.26330904150185663,74.53152518687345,0.10137679439308915
vio13,0.42910794529939805,0.29600188429252283,0.2975675632529588,0.12479264959236097,0.3023859105517432,98.29503181772233,0.06180714679940136
vio14,0.5006478039832993,0.3438270236794247,0.36427901804816537,0.11256693186455598,0.35290598909695015,133.88333492603394,0.07953373452972644
vio15,0.5155945432835624,0.37674663463066704,0.40628472947451605,0.12350307136742718,0.38943527483510987,163.0343207823399,0.09859922200689145
vio16,0.5602197351959556,0.39539201447959826,0.41832491763881224,0.14028174796295168,0.4133628507564329,183.6840098643964,0.12055704571384541
vio17,0.5998496550727742,0.3914544894102873,0.39894012687073155,0.11240851201312956,0.41483347215019356,184.99332033739933,0.13729600262468192
vio18,0.5871708989630007,0.37533249700636195,0.3675789549325181,0.08279227898330768,0.3994192419116544,171.50091061997676,0.13660617665482772
vio19,0.5673410550017854,0.3647467521042309,0.354967087260441,0.0958928940362291,0.3833928266095638,158.01431395784635,0.11810955221778528
vio20,0.6839124791228725,0.3940820975410128,0.39476869569497397,0.20597735569082556,0.4060612542798128,177.2521728943419,0.09790323092202026
vio21,0.7999201944610548,0.5012392751495979,0.48933551749575505,0.23034577237304027,0.5254745931762351,296.83281417925957,0.15774262937213743
vio22,1.032628480434029,0.622530528822499,0.5680375286325573,0.23310762244913488,0.6582478891680628,465.787054863776,0.2138832024217655
vio23,1.1928237801561954,0.6748902430871552,0.5983014214083746,0.23178831245203854,0.7295235476898894,572.1199521315955,0.27699777331199393
vio24,1.2739075810472495,0.6863343236373721,0.6498046238434856,0.22322068039685938,0.7519343565372663,607.810672281696,0.3071652205871356
vio25,1.2672562608645144,0.6911378095146555,0.658445820766026,0.22002719384246558,0.7612635732794377,622.9863951023412,0.3191406527872336
vio26,1.2497447208862045,0.76203829229717,0.7130606561826337,0.2393987014795547,0.8158294196085171,715.4959650411777,0.29133362828822695
