,max,mean,median,min,rmse,sse,std
vio0,80.8606872701211,11.386972979433512,8.45901798448009,1.723232663213645,16.200087028118844,263230.1481777803,11.523005948287778
vio1,146.80015688559988,20.63285643441354,15.143554783528554,2.912829342114451,30.59664620143417,973600.9491267654,22.59291911490447
vio2,79.10266206914625,13.350616804161467,8.874965935342003,2.202231424216778,18.96942259790903,370994.00250270165,13.475905336804022
vio3,292.02318762789207,42.5057646688066,30.613863373470068,1.6743219065926997,65.52383286016143,4426467.225539648,49.86614726050533
vio4,272.70805978001636,34.99053750279462,22.66107330374019,4.730933542434116,57.38532079962418,3503831.84604543,45.48337419916538
vio5,536.6529611622736,81.7873319731792,52.366428974241956,5.483283930852125,124.49596381082075,16289706.500449637,93.86201219819533
vio6,539.3365363643084,92.52265320048684,57.328789484711834,31.49937411635261,133.90776422531664,19078891.836291667,96.80314026190183
vio7,1.172597462028763,0.42555599442578135,0.39602644961456934,0.056950802246188516,0.5071415769956776,276.4820225514875,0.2758526322621322
vio8,0.9814854831684491,0.32646253296575833,0.2824251496863528,0.00776128351935552,0.38218860845849856,157.02324236810176,0.19872178291527245
vio9,0.48102467807569954,0.2735632924467242,0.28942986032375073,0.09366755442614953,0.28785633125400417,89.0758625012411,0.08957897336274322
vio10,0.4447124764431785,0.3054432122368526,0.31396767329952924,0.1270784635597687,0.3113318011715468,104.19705220227351,0.06026553342626751
vio11,0.4366688252818733,0.2996675951885483,0.30113393242134384,0.12292730300214266,0.3059589728953972,100.63171007734687,0.06172702397749906
vio12,0.4299691610687271,0.29501279316892587,0.29613778865341767,0.12138919866508241,0.3015596583933201,97.75859463806813,0.06249543532902629
vio13,0.42910794529939805,0.29600188429252283,0.2975675632529588,0.12479264959236097,0.3023859105517432,98.29503181772233,0.06180714679940136
vio14,0.4335399920570484,0.29937677024553977,0.30108432189959344,0.12992196593860067,0.30547189604944075,100.31156022174336,0.06071761452321443
vio15,0.43377584631267574,0.2995640997950281,0.3012355359317717,0.13002840368071666,0.30564872753450834,100.42773049172393,0.06068356249808158
vio16,0.43372026439903594,0.29967707515975106,0.30123837616345106,0.12990114239305778,0.30575765064322413,100.4993214963787,0.0606744719841944
vio17,0.4366068951287632,0.3010432200074004,0.30272799919910026,0.12946582082932445,0.30711959706348163,101.39663041796796,0.06079002046398119
vio18,0.4429207570077271,0.3046402802438151,0.30393584342462326,0.12778544176826578,0.3107540061592036,103.81065626979395,0.061338014289380044
vio19,0.4624947925830072,0.31595661988704105,0.32118809357330785,0.12366514572971946,0.3225955351980853,111.87297027946953,0.06510985854150667
vio20,0.5029766560300102,0.3381041757291441,0.3556211549042998,0.11942354551377565,0.34697664755778085,129.4222534967192,0.07796383972684083
vio21,0.5413987324012405,0.3588011795535559,0.3730824410208962,0.12360427093358523,0.3708785958704104,147.86725284041773,0.09387569667269674
vio22,0.5566263819333951,0.36937795713024635,0.37604176312907783,0.1321439655741255,0.3825709415660973,157.337564730578,0.09960145640027636
vio23,0.5549031342924085,0.37609301258453165,0.3983865136161666,0.12506253645542842,0.38927651291184506,162.9014187676663,0.1004502333989187
vio24,0.5186416994311939,0.3629350584730466,0.398049556907667,0.10367266143454053,0.3755253014051379,151.59569589507612,0.09642300206167555
vio25,0.47241154335793256,0.3368969822555795,0.3655508433801334,0.09170564650461896,0.34828569939577136,130.40064803387173,0.08833658217683855
vio26,0.4711635225536984,0.3263782338900095,0.34258014400661096,0.08800690289786446,0.3400211315636307,124.28544765304773,0.09534997825196476
