,max,mean,median,min,rmse,sse,std
traj0,0.35143052537267844,0.053731664649762645,0.042290650168528,0.005534043898469912,0.07234928773035935,0.978836434361891,0.04844922753827737
traj10,0.32107966527081655,0.0865831387727805,0.08287029813056732,0.018253571204051657,0.09670742740658526,1.7488850584171922,0.043077680947950205
traj11,0.3211103390946168,0.08295428737871831,0.07825233984045654,0.01847110287057041,0.09380476741062146,1.645475530735668,0.04379407031151369
traj12,0.32113612057145213,0.07767567629394309,0.07294365214712265,0.019222916255682773,0.0879042328233292,1.4449778257242583,0.04115389970023052
traj1,0.4047978978234255,0.05829487092595911,0.04480485148530329,0.010933429234268226,0.07385654363450471,1.020045550037838,0.045348616972971344
traj2,0.34448697257839656,0.08682193854621127,0.08252546640814268,0.019216564269614635,0.0975047247212195,1.7778410411336685,0.04437479385911226
traj3,0.3219772355992878,0.08203457595976157,0.07863104601665687,0.01844041620504364,0.0918221363826114,1.576653984485108,0.041250855469541436
traj4,0.32127053092290614,0.08278528753344212,0.08327716600156311,0.01628851465518765,0.09106261468412201,1.5506787613113593,0.03793410024126294
traj5,0.32096326039092926,0.09853606748705973,0.09054627471131277,0.01786805677402878,0.10935871070727353,2.2363942626131856,0.047433859338480495
traj6,0.3210331395388207,0.08230947850975721,0.07672533328180589,0.018292780376992075,0.09301823367536252,1.6179972658677728,0.04333060746788766
traj7,0.320959903924743,0.07923737634666134,0.07431504500750846,0.019148554042680975,0.0897740749948613,1.5071049092012174,0.04219979538908377
traj8,0.32092440944350625,0.07922085252379205,0.07414842537481592,0.019138409721973684,0.08976487560411946,1.5067960508457086,0.04221124752511627
traj9,0.32095971946010765,0.07954216342510667,0.07421601742477435,0.01965485445852135,0.0902095599616451,1.5217620004845713,0.04255360085970711
